UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
112523804,57754,2021-03-04 11:59:24,2021-03-04 12:01:44,Legnicka / M³odych Techników,Plac Strzegomski / Poznañska,3
112523683,651360,2021-03-04 11:54:34,2021-03-04 12:01:56,Fosa Miejska ,pl. Orl¹t Lwowskich,8
112523194,57276,2021-03-04 11:37:50,2021-03-04 12:02:50,Rondo Reagana,Olszewskiego / Spó³dzielcza,25
112523580,651035,2021-03-04 11:51:14,2021-03-04 12:03:18,Fosa Miejska ,Drobnera / Dubois,13
112522734,57693,2021-03-04 11:22:47,2021-03-04 12:03:49,Grota-Roweckiego/Iwaszkiewicza,Grota-Roweckiego/Iwaszkiewicza,42
112523597,650710,2021-03-04 11:51:43,2021-03-04 12:04:03,Drobnera / Plac Bema,Wita Stwosza / Szewska,13
112523394,57554,2021-03-04 11:44:58,2021-03-04 12:04:58,PrzyjaŸni / Karkonoska,Aleja Bielany,20
112523607,651388,2021-03-04 11:52:05,2021-03-04 12:05:27,Plac Grunwaldzki (DS O³ówek),Olszewskiego / Spó³dzielcza,14
112523687,650693,2021-03-04 11:54:40,2021-03-04 12:05:38,Wita Stwosza / Szewska,Plac Jana Paw³a II (Akademia Muzyczna),11
112523688,650532,2021-03-04 11:54:45,2021-03-04 12:05:42,Wita Stwosza / Szewska,Plac Jana Paw³a II (Akademia Muzyczna),11
112523706,57104,2021-03-04 11:55:50,2021-03-04 12:07:06,Komandorska / Kamienna,Rynek,12
112523698,57296,2021-03-04 11:55:05,2021-03-04 12:07:11,Traugutta / Koœciuszki,Plac Grunwaldzki / Polaka,13
112524065,650109,2021-03-04 12:06:55,2021-03-04 12:09:06,Powstañcow Œl¹skich / Aleja Hallera,Powstañcow Œl¹skich / Aleja Hallera,3
112523945,651052,2021-03-04 12:03:23,2021-03-04 12:10:04,Leœnica - pêtla tramwajowa,Prochowicka / Dolnobrzeska,7
112524182,650757,2021-03-04 12:10:24,2021-03-04 12:10:34,Poza stacj¹,Rondo Reagana,1
112523775,57809,2021-03-04 11:58:26,2021-03-04 12:11:13,Waloñska (Angel Poland Group),Waloñska (Angel Poland Group),13
112524135,650484,2021-03-04 12:09:11,2021-03-04 12:11:16,"Dworzec G³ówny, po³udnie","Dworzec G³ówny, po³udnie",3
112523770,650105,2021-03-04 11:58:18,2021-03-04 12:11:28,Rondo Reagana,Aleja Kromera,14
112523679,650866,2021-03-04 11:54:30,2021-03-04 12:11:37,Plac Dominikañski (Galeria Dominikañska),Opolska / pêtla tramwajowa,18
112523897,57751,2021-03-04 12:01:59,2021-03-04 12:12:14,Obornicka / Ba³tycka,Obornicka / Ba³tycka,11
112523983,57648,2021-03-04 12:04:20,2021-03-04 12:15:30,Borowska (Uniw. Szpital Kliniczny),Powstañcow Œl¹skich / Aleja Hallera,12
112524033,57106,2021-03-04 12:06:05,2021-03-04 12:16:21,Gorlicka / Litewska,Poza stacj¹,11
112524145,650937,2021-03-04 12:09:36,2021-03-04 12:16:28,Drobnera / Dubois,Plac Koœciuszki (Renoma),7
112523894,57798,2021-03-04 12:01:51,2021-03-04 12:16:35,"Paprotna / Obornicka, zajezdnia MPK",Plac Œwiêtego Macieja / Trzebnicka,15
112524149,650899,2021-03-04 12:09:40,2021-03-04 12:17:49,Plac Grunwaldzki / Polaka,Traugutta / Koœciuszki,9
112524195,650817,2021-03-04 12:10:53,2021-03-04 12:18:13,Nyska / Piêkna,Œwieradowska / Krynicka,8
112524347,57833,2021-03-04 12:15:19,2021-03-04 12:18:40,Nowowiejska / Górnickiego,Nowowiejska / Wyszyñskiego,4
112523846,650985,2021-03-04 12:00:39,2021-03-04 12:18:52,Skarbowców / Wietrzna,Grabiszyñska / Aleja Hallera,19
112523870,57100,2021-03-04 12:01:21,2021-03-04 12:19:05,Drobnera / Dubois,Poza stacj¹,18
112523564,650104,2021-03-04 11:50:39,2021-03-04 12:19:57,Œwidnicka / Pi³sudskiego (Hotel Scandic),al. Armii Krajowej / Tarnogajska,30
112524139,57641,2021-03-04 12:09:22,2021-03-04 12:20:19,Nyska / Piêkna,Œwieradowska (Ferio Gaj ),11
112524002,650710,2021-03-04 12:04:58,2021-03-04 12:20:24,Wita Stwosza / Szewska,Wita Stwosza / Szewska,16
112524344,650473,2021-03-04 12:15:15,2021-03-04 12:21:04,Obornicka / Ba³tycka,Obornicka / Ba³tycka,6
112524071,57489,2021-03-04 12:07:03,2021-03-04 12:21:10,Krzywoustego / Korona,Jednoœci Narodowej / Wyszyñskiego,15
112523921,57628,2021-03-04 12:02:40,2021-03-04 12:21:32,Aleja Hallera / Mielecka,Solskiego / al. Piastów,19
112524188,57046,2021-03-04 12:10:32,2021-03-04 12:21:35,Strzegomska / Rogowska ,Na Ostatnim Groszu,12
112523659,651032,2021-03-04 11:53:55,2021-03-04 12:21:47,"Dworzec G³ówny, po³udnie",Borowska (Uniw. Szpital Kliniczny),28
112524152,650384,2021-03-04 12:09:42,2021-03-04 12:22:05,Grota-Roweckiego / Parafialna,al. Armii Krajowej / Borowska,13
112524233,650039,2021-03-04 12:12:11,2021-03-04 12:22:12,Rynek,Powstañców Œl¹skich (Arkady Wroc³awskie),11
112524430,650287,2021-03-04 12:17:51,2021-03-04 12:22:15,Jagie³³y / Dmowskiego ,M³odych Techników,5
112524089,57003,2021-03-04 12:07:45,2021-03-04 12:22:21,"Dworzec G³ówny, po³udnie",Wyszyñskiego / Szczytnicka,15
112524216,650784,2021-03-04 12:11:46,2021-03-04 12:22:55,Krzywoustego / Korona,Krzywoustego - Rynek Psie Pole,12
112523475,650485,2021-03-04 11:47:58,2021-03-04 12:23:28,Œlê¿na / Aleja Wiœniowa,Pi³awska,36
112524029,650376,2021-03-04 12:05:57,2021-03-04 12:24:33,Pi³awska,Koœciuszki / Komuny Paryskiej / Zgodna,19
112524459,650151,2021-03-04 12:18:47,2021-03-04 12:27:16,Hubska / Prudnicka,Koœciuszki / Pu³askiego,9
112524396,650205,2021-03-04 12:17:01,2021-03-04 12:27:30,Popowicka ,Zachodnia / Poznañska,11
112524251,651115,2021-03-04 12:12:50,2021-03-04 12:28:07,Popowicka / NiedŸwiedzia ,Plac Staszica,16
112524118,650956,2021-03-04 12:08:43,2021-03-04 12:28:17,Otyñska,Otyñska,20
112524316,650105,2021-03-04 12:14:29,2021-03-04 12:29:27,Aleja Kromera,Drobnera / Dubois,15
112524117,651156,2021-03-04 12:08:39,2021-03-04 12:29:32,"Paprotna / Obornicka, zajezdnia MPK",¯migrodzka / Broniewskiego,21
112524527,650962,2021-03-04 12:21:10,2021-03-04 12:30:12,Szewska / Kazimierza Wielkiego ,Szczêœliwa (Sky Tower),10
112524593,57046,2021-03-04 12:22:51,2021-03-04 12:30:26,Na Ostatnim Groszu,Legnicka (Park Magnolia),8
112524530,651038,2021-03-04 12:21:15,2021-03-04 12:30:41,Marca Polo (Olimpia Port),Bacciarellego / pêtla autobusowa,10
112524415,650892,2021-03-04 12:17:33,2021-03-04 12:30:55,Rynek,Rondo Reagana,14
112523555,57334,2021-03-04 11:50:16,2021-03-04 12:31:16,Centrum Handlowe Auchan Bielany,Powstañców Œl¹skich (Arkady Wroc³awskie),41
112524580,650015,2021-03-04 12:22:26,2021-03-04 12:31:51,Plac Œwiêtego Macieja / Trzebnicka,Nowowiejska / Wyszyñskiego,10
112524458,650721,2021-03-04 12:18:45,2021-03-04 12:33:00,al. Armii Krajowej / Bardzka,"Dworzec G³ówny, po³udnie",15
112524592,650822,2021-03-04 12:22:51,2021-03-04 12:33:58,Plac Dominikañski (Galeria Dominikañska),Rondo Reagana,12
112524219,651322,2021-03-04 12:11:50,2021-03-04 12:34:26,Borowska (Uniw. Szpital Kliniczny),Szczêœliwa (Sky Tower),23
112523938,57403,2021-03-04 12:03:09,2021-03-04 12:35:01,Partyzantów / Okrzei,Poza stacj¹,32
112524798,650201,2021-03-04 12:29:29,2021-03-04 12:35:18,Kraszewskiego / Trzebnicka,Plac Œwiêtego Macieja / Trzebnicka,6
112524257,651248,2021-03-04 12:13:03,2021-03-04 12:35:24,Poza stacj¹,¯migrodzka / Broniewskiego,23
112524643,650474,2021-03-04 12:24:38,2021-03-04 12:37:02,Jagie³³y / Dmowskiego ,Fosa Miejska ,13
112524991,651205,2021-03-04 12:35:03,2021-03-04 12:37:05,Opolska / pêtla tramwajowa,Opolska / pêtla tramwajowa,3
112524519,651041,2021-03-04 12:20:57,2021-03-04 12:37:23,Sienkiewicza / Wyszyñskiego,Drobnera / Plac Bema,17
112524417,57786,2021-03-04 12:17:37,2021-03-04 12:37:33,.RELOKACYJNA,Kazimierza Wielkiego (Helios),20
112525016,651131,2021-03-04 12:35:46,2021-03-04 12:37:34,Dworzec G³ówny ,Dworzec G³ówny ,2
112525075,650052,2021-03-04 12:37:25,2021-03-04 12:37:34,Fosa Miejska ,Fosa Miejska ,1
112524572,57055,2021-03-04 12:22:12,2021-03-04 12:37:48,Œlê¿na / Skierniewicka,Aleja Hallera / Mielecka,16
112525097,651303,2021-03-04 12:37:56,2021-03-04 12:38:03,Fosa Miejska ,Fosa Miejska ,1
112524855,57243,2021-03-04 12:30:49,2021-03-04 12:38:15,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Borowska,8
112524628,651235,2021-03-04 12:24:16,2021-03-04 12:38:23,Legnicka (Park Magnolia),Plac Jana Paw³a II (Akademia Muzyczna),15
112524935,57896,2021-03-04 12:33:25,2021-03-04 12:40:14,Opolska / pêtla tramwajowa,Opolska / pêtla tramwajowa,7
112524774,650422,2021-03-04 12:28:43,2021-03-04 12:41:09,Drobnera / Dubois,Koœciuszki / Pu³askiego,13
112525215,651352,2021-03-04 12:41:06,2021-03-04 12:41:18,Krzywoustego / Korona,Krzywoustego / Korona,1
112518940,650534,2021-03-04 08:58:07,2021-03-04 12:41:25,Popowicka ,Popowicka ,224
112525021,57376,2021-03-04 12:35:56,2021-03-04 12:41:26,Poza stacj¹,Wa³brzyska - pêtla tramwajowa,6
112524948,57653,2021-03-04 12:33:48,2021-03-04 12:41:27,Powstañców Œl¹skich (Arkady Wroc³awskie),Plac Dominikañski (Galeria Dominikañska),8
112525126,650385,2021-03-04 12:38:53,2021-03-04 12:41:32,Sienkiewicza / Piastowska,Rondo Reagana,3
112524852,57394,2021-03-04 12:30:49,2021-03-04 12:41:45,Legnicka / Wejherowska,Legnicka / Wejherowska,11
112525233,650416,2021-03-04 12:41:36,2021-03-04 12:41:49,Fosa Miejska ,Fosa Miejska ,1
112524993,57681,2021-03-04 12:35:08,2021-03-04 12:41:56,Rynek,Legnicka / M³odych Techników,7
112525179,650968,2021-03-04 12:39:49,2021-03-04 12:42:50,Semaforowa,Moœcickiego (stacja kolejowa),4
112524877,57188,2021-03-04 12:31:34,2021-03-04 12:42:56,Powstañców Œl¹skich/Orla,Wa³brzyska - pêtla tramwajowa,12
112524736,650469,2021-03-04 12:27:32,2021-03-04 12:43:55,Grabiszyñska / Magazynierska (Corte Verona),Plac Dominikañski (Galeria Dominikañska),17
112525104,650750,2021-03-04 12:38:19,2021-03-04 12:44:55,Fosa Miejska ,Plac Dominikañski (Galeria Dominikañska),7
112525103,651012,2021-03-04 12:38:13,2021-03-04 12:45:04,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Borowska,7
112525229,651338,2021-03-04 12:41:30,2021-03-04 12:46:05,Powstañców Œl¹skich (Arkady Wroc³awskie),Szewska / Kazimierza Wielkiego ,5
112524068,57614,2021-03-04 12:07:01,2021-03-04 12:46:44,Marca Polo (Olimpia Port),Marca Polo (Olimpia Port),40
112525182,57064,2021-03-04 12:39:53,2021-03-04 12:46:57,Œwieradowska / Krynicka,Nyska / Piêkna,8
112524064,57470,2021-03-04 12:06:54,2021-03-04 12:47:15,Marca Polo (Olimpia Port),Marca Polo (Olimpia Port),41
112524621,650384,2021-03-04 12:24:02,2021-03-04 12:47:37,al. Armii Krajowej / Borowska,Poniatowskiego / Oleœnicka,24
112525116,650338,2021-03-04 12:38:35,2021-03-04 12:48:18,Fosa Miejska ,"Dworzec G³ówny, po³udnie",10
112525193,57861,2021-03-04 12:40:16,2021-03-04 12:48:21,¯migrodzka / Marino,Ba³tycka / ¯migrodzka,9
112525169,650105,2021-03-04 12:39:38,2021-03-04 12:48:36,Drobnera / Dubois,Œwidnicka / Pi³sudskiego (Hotel Scandic),9
112525081,57728,2021-03-04 12:37:33,2021-03-04 12:48:46,Rakowiecka,Plac Powstañców Warszawy (Muzeum Narodowe),12
112525034,650962,2021-03-04 12:36:24,2021-03-04 12:48:56,Szczêœliwa (Sky Tower),Aleja Hallera / Mielecka,13
112525390,57278,2021-03-04 12:46:05,2021-03-04 12:48:58,Popowicka ,Popowicka / NiedŸwiedzia ,3
112525058,650691,2021-03-04 12:37:06,2021-03-04 12:49:31,Olszewskiego / Spó³dzielcza,Marca Polo (Olimpia Port),13
112525382,650561,2021-03-04 12:45:53,2021-03-04 12:49:36,al. Kochanowskiego / Kopernika,Plac Grunwaldzki (DS O³ówek),4
112525327,57669,2021-03-04 12:44:23,2021-03-04 12:49:38,Powstañcow Œl¹skich / Aleja Hallera,Aleja Hallera / Mielecka,6
112525279,650710,2021-03-04 12:42:55,2021-03-04 12:49:49,Wita Stwosza / Szewska,Drobnera / Plac Bema,7
112525138,57776,2021-03-04 12:39:03,2021-03-04 12:51:30,.RELOKACYJNA,Nowowiejska / Górnickiego,13
112525131,650523,2021-03-04 12:38:56,2021-03-04 12:51:35,Grabiszyñska / Stalowa,Szewska / Kazimierza Wielkiego ,13
112525324,650191,2021-03-04 12:44:12,2021-03-04 12:52:19,Plac Grunwaldzki / Polaka,Traugutta / Koœciuszki,9
112524999,650938,2021-03-04 12:35:17,2021-03-04 12:52:39,Grabiszyñska / Aleja Hallera,Zaporoska / Grabiszyñska,18
112525584,57795,2021-03-04 12:52:13,2021-03-04 12:53:09,Koœciuszki / Pu³askiego,Koœciuszki / Pu³askiego,1
112525399,650403,2021-03-04 12:46:23,2021-03-04 12:53:14,Sienkiewicza / Wyszyñskiego,Drobnera / Dubois,7
112525476,650234,2021-03-04 12:48:52,2021-03-04 12:54:22,Legnicka / Wejherowska,Legnicka (Park Magnolia),6
112525430,57691,2021-03-04 12:47:32,2021-03-04 12:56:22,Grabiszyñska / Magazynierska (Corte Verona),Zaporoska / Grabiszyñska,9
112524868,651077,2021-03-04 12:31:19,2021-03-04 12:56:38,Borowska (Uniw. Szpital Kliniczny),Traugutta / Pu³askiego,26
112525685,650229,2021-03-04 12:54:59,2021-03-04 12:56:59,Drzewieckiego / Dedala,Drzewieckiego / Dedala,2
112525578,650741,2021-03-04 12:52:03,2021-03-04 12:57:17,Koœciuszki / Komuny Paryskiej / Zgodna,Traugutta / Pu³askiego,6
112525364,650104,2021-03-04 12:45:24,2021-03-04 12:58:02,al. Armii Krajowej / Tarnogajska,Œlê¿na / Aleja Wiœniowa,13
112525473,651285,2021-03-04 12:48:48,2021-03-04 12:59:18,Nyska / Piêkna,Koœciuszki / Pu³askiego,11
112525497,57559,2021-03-04 12:49:38,2021-03-04 12:59:26,Plac Legionów,Pi³sudskiego 13 od Jump Hall,10
112525709,57499,2021-03-04 12:55:39,2021-03-04 12:59:32,Opolska / pêtla tramwajowa,Opolska / Siemianowicka,4
112525284,651352,2021-03-04 12:43:03,2021-03-04 13:00:20,Krzywoustego / Korona,al. Kochanowskiego / Kopernika,18
112525439,651131,2021-03-04 12:47:42,2021-03-04 13:00:26,Dworzec G³ówny ,Borowska (Uniw. Szpital Kliniczny),13
112523973,57888,2021-03-04 12:04:07,2021-03-04 13:00:33,Legnicka / Zachodnia ,Plac Jana Paw³a II (Akademia Muzyczna),57
112525814,57191,2021-03-04 12:57:58,2021-03-04 13:01:28,Bezpieczna / Obornicka,"Paprotna / Obornicka, zajezdnia MPK",4
112525853,651461,2021-03-04 12:59:09,2021-03-04 13:01:30,Rondo Reagana,Sienkiewicza / Piastowska,3
112525655,57652,2021-03-04 12:54:04,2021-03-04 13:01:44,Œlê¿na / pêtla tramwajowa,Zwyciêska / O³taszyñska,8
112525575,57040,2021-03-04 12:51:52,2021-03-04 13:02:00,Œwieradowska (Ferio Gaj ),Karwiñska / Opolska,11
112525287,651109,2021-03-04 12:43:06,2021-03-04 13:02:15,Poza stacj¹,Poza stacj¹,20
112525734,57001,2021-03-04 12:56:16,2021-03-04 13:02:34,Powstañców Œl¹skich (Arkady Wroc³awskie),Wita Stwosza / Szewska,7
112525651,651038,2021-03-04 12:53:58,2021-03-04 13:02:40,Bacciarellego / pêtla autobusowa,Marca Polo (Olimpia Port),9
112525599,57093,2021-03-04 12:52:39,2021-03-04 13:02:52,Powstañców Œl¹skich (Arkady Wroc³awskie),Zaporoska / Gajowicka,11
112525089,650936,2021-03-04 12:37:44,2021-03-04 13:05:07,Dworzec G³ówny ,Aleja Kromera,28
112525736,651136,2021-03-04 12:56:17,2021-03-04 13:05:37,Popowicka / NiedŸwiedzia ,Fabryczna / Wagonowa,10
112519467,651006,2021-03-04 09:16:12,2021-03-04 13:05:47,Kutrzeby / Hubala,Wa³brzyska - pêtla tramwajowa,230
112525452,57628,2021-03-04 12:48:10,2021-03-04 13:06:21,Solskiego / al. Piastów,Aleja Hallera / Mielecka,19
112525884,651043,2021-03-04 13:00:07,2021-03-04 13:06:45,Partyzantów / Okrzei,Stadion Olimpijski,7
112525785,651210,2021-03-04 12:57:21,2021-03-04 13:07:32,Zaporoska / Grabiszyñska,Dworzec G³ówny ,11
112525639,650422,2021-03-04 12:53:29,2021-03-04 13:07:43,Koœciuszki / Pu³askiego,Œwieradowska / Krynicka,15
112525862,57243,2021-03-04 12:59:28,2021-03-04 13:07:45,al. Armii Krajowej / Borowska,Grota-Roweckiego / Parafialna,9
112525810,651359,2021-03-04 12:57:53,2021-03-04 13:08:16,Drzewieckiego / Dedala,Legnicka / Wejherowska,11
112526060,650828,2021-03-04 13:04:45,2021-03-04 13:08:21,Rondo Reagana,Plac Grunwaldzki / Polaka,4
112525865,57160,2021-03-04 12:59:37,2021-03-04 13:09:02,Pi³sudskiego 13 od Jump Hall,Œwidnicka / Pi³sudskiego (Hotel Scandic),10
112526139,57428,2021-03-04 13:06:46,2021-03-04 13:09:33,¯eromskiego / Kluczborska,Poniatowskiego / Oleœnicka,3
112525976,57395,2021-03-04 13:02:20,2021-03-04 13:09:47,Plac Legionów,Poza stacj¹,8
112526263,650245,2021-03-04 13:09:31,2021-03-04 13:09:47,Fosa Miejska ,Plac Dominikañski (Galeria Dominikañska),1
112526141,651455,2021-03-04 13:06:48,2021-03-04 13:09:58,Stacyjna (Dworzec Miko³ajów),Plac Strzegomski / Poznañska,4
112526200,650481,2021-03-04 13:08:06,2021-03-04 13:10:08,Kutrzeby / Hubala,Kutrzeby / Hubala,3
112525792,651077,2021-03-04 12:57:29,2021-03-04 13:10:22,Traugutta / Pu³askiego,Drobnera / Dubois,13
112526252,650105,2021-03-04 13:09:19,2021-03-04 13:10:42,Œwidnicka / Pi³sudskiego (Hotel Scandic),Powstañców Œl¹skich (Arkady Wroc³awskie),2
112526021,57502,2021-03-04 13:03:23,2021-03-04 13:10:57,al. Armii Krajowej / Borowska,"Dworzec G³ówny, po³udnie",8
112525878,651054,2021-03-04 13:00:02,2021-03-04 13:11:30,Koœciuszki / Pu³askiego,Rondo Reagana,12
112526125,57594,2021-03-04 13:06:23,2021-03-04 13:11:30,Promenady Wroc³awskie,¯eromskiego / Daszyñskiego,6
112525674,57832,2021-03-04 12:54:40,2021-03-04 13:11:31,Aleja Kromera,Wyszyñskiego / Szczytnicka,17
112525882,650104,2021-03-04 13:00:04,2021-03-04 13:11:42,Œlê¿na / Aleja Wiœniowa,Powstañców Œl¹skich (Arkady Wroc³awskie),12
112526249,57815,2021-03-04 13:09:16,2021-03-04 13:12:55,Gliniana / Gajowa,"Dworzec G³ówny, po³udnie",4
112526173,650555,2021-03-04 13:07:26,2021-03-04 13:13:00,¯migrodzka / Marino,Bezpieczna / Obornicka,6
112525868,650892,2021-03-04 12:59:44,2021-03-04 13:14:53,Rondo Reagana,Wita Stwosza / Szewska,16
112525945,650293,2021-03-04 13:01:34,2021-03-04 13:15:17,Stacyjna (Dworzec Miko³ajów),Popowice,14
112525990,57741,2021-03-04 13:02:42,2021-03-04 13:15:50,Czekoladowa / Wa³brzyska,Skarbowców / Wietrzna,14
112526025,651352,2021-03-04 13:03:40,2021-03-04 13:15:53,al. Kochanowskiego / Kopernika,Olszewskiego / Spó³dzielcza,13
112526114,57088,2021-03-04 13:06:10,2021-03-04 13:17:38,"Grochowa / Jemio³owa,",Kamienna / Borowska (Aquapark),12
112526228,650513,2021-03-04 13:08:48,2021-03-04 13:18:27,Legnicka / M³odych Techników,Rynek,10
112526352,57040,2021-03-04 13:12:06,2021-03-04 13:18:34,.RELOKACYJNA,Opolska / pêtla tramwajowa,7
112526214,650545,2021-03-04 13:08:32,2021-03-04 13:18:47,Powstañcow Œl¹skich / Aleja Hallera,Powstañców Œl¹skich (Arkady Wroc³awskie),11
112526466,57590,2021-03-04 13:15:18,2021-03-04 13:18:52,Plac Powstañców Œl¹skich,Szczêœliwa (Sky Tower),4
112526579,57572,2021-03-04 13:18:30,2021-03-04 13:19:09,Aleja Kromera,Aleja Kromera,1
112526275,651390,2021-03-04 13:09:46,2021-03-04 13:19:13,Poza stacj¹,Pi³awska,10
112526168,57253,2021-03-04 13:07:24,2021-03-04 13:19:26,Stadion Olimpijski,al. Brücknera / Kwidzyñska,13
112526049,57168,2021-03-04 13:04:23,2021-03-04 13:19:29,Sienkiewicza / Wyszyñskiego,Aleja Kromera,16
112526465,651262,2021-03-04 13:15:17,2021-03-04 13:21:13,Rondo Reagana,al. Kochanowskiego / Kopernika,6
112526244,650243,2021-03-04 13:09:09,2021-03-04 13:21:55,Rondo Reagana,Plac Uniwersytecki (UWr),13
112526189,57676,2021-03-04 13:07:50,2021-03-04 13:22:00,Rondo Reagana,Plac Uniwersytecki (UWr),15
112526345,650259,2021-03-04 13:11:54,2021-03-04 13:22:51,Lotnicza / Na Ostatnim Groszu,Lotnicza / Metalowców,11
112526621,650171,2021-03-04 13:19:52,2021-03-04 13:22:52,Plac Grunwaldzki (DS O³ówek),al. Kochanowskiego / Kopernika,3
112526565,651032,2021-03-04 13:17:58,2021-03-04 13:23:07,Borowska (Uniw. Szpital Kliniczny),al. Armii Krajowej / Borowska,6
112525914,650994,2021-03-04 13:00:57,2021-03-04 13:23:21,Partyzantów / Okrzei,Poza stacj¹,23
112525738,650559,2021-03-04 12:56:20,2021-03-04 13:23:34,Zaporoska / Grabiszyñska,Graniczna / Strzegomska,28
112526176,57228,2021-03-04 13:07:28,2021-03-04 13:23:45,Plac Legionów,Tarnogajska / Klimasa,17
112526170,650088,2021-03-04 13:07:24,2021-03-04 13:23:47,"Paprotna / Obornicka, zajezdnia MPK",Waniliowa / Cynamonowa,17
112526431,650098,2021-03-04 13:14:30,2021-03-04 13:23:52,Plac Grunwaldzki / Polaka,Koœciuszki / Pu³askiego,10
112526490,57749,2021-03-04 13:16:04,2021-03-04 13:24:02,Skarbowców / Wietrzna,Powstañców Œl¹skich/Orla,8
112526248,651037,2021-03-04 13:09:15,2021-03-04 13:24:39,Œwidnicka / Pi³sudskiego (Hotel Scandic),Komandorska / Sanocka,16
112526787,650208,2021-03-04 13:24:29,2021-03-04 13:24:52,"Kosmonautów / Fieldorfa, szpital wojewódzki","Kosmonautów / Fieldorfa, szpital wojewódzki",1
112526204,651129,2021-03-04 13:08:14,2021-03-04 13:25:14,pl. Powstañców Wielkopolskich,pl. Powstañców Wielkopolskich,17
112526677,57489,2021-03-04 13:21:32,2021-03-04 13:25:23,Jednoœci Narodowej / Wyszyñskiego,Nowowiejska / Wyszyñskiego,4
112524987,650077,2021-03-04 12:35:02,2021-03-04 13:25:44,"Wroc³aw Leœnica, stacja kolejowa",¯migrodzka / Marino,51
112526667,650201,2021-03-04 13:21:22,2021-03-04 13:25:48,Plac Œwiêtego Macieja / Trzebnicka,Plac Uniwersytecki (UWr),5
112526800,650877,2021-03-04 13:24:44,2021-03-04 13:25:59,Plac Dominikañski (Galeria Dominikañska),Plac Dominikañski (Galeria Dominikañska),2
112526600,57641,2021-03-04 13:19:13,2021-03-04 13:26:02,Œwieradowska (Ferio Gaj ),Œwieradowska (Ferio Gaj ),7
112526372,57276,2021-03-04 13:12:57,2021-03-04 13:27:06,Olszewskiego / Spó³dzielcza,Poza stacj¹,15
112526608,57691,2021-03-04 13:19:27,2021-03-04 13:27:20,Zaporoska / Grabiszyñska,Dworzec G³ówny ,8
112526253,650271,2021-03-04 13:09:19,2021-03-04 13:27:45,Bacciarellego,Rondo Reagana,19
112526803,650986,2021-03-04 13:24:46,2021-03-04 13:27:48,Komandorska / Sanocka,Œlê¿na / Kamienna (Uniw. Ekonomiczny),4
112526685,651350,2021-03-04 13:21:47,2021-03-04 13:27:49,Czekoladowa / Wa³brzyska,Centrum Handlowe Auchan Bielany,7
112526396,651276,2021-03-04 13:13:35,2021-03-04 13:28:00,Kamieñskiego / Jutrosiñska,Kraszewskiego / Trzebnicka,15
112526900,651175,2021-03-04 13:27:26,2021-03-04 13:28:14,Sienkiewicza / Wyszyñskiego,Sienkiewicza / Wyszyñskiego,1
112526370,650105,2021-03-04 13:12:49,2021-03-04 13:28:20,Powstañców Œl¹skich (Arkady Wroc³awskie),Nyska / Piêkna,16
112524849,57648,2021-03-04 12:30:46,2021-03-04 13:28:22,Powstañcow Œl¹skich / Aleja Hallera,Wa³brzyska - pêtla tramwajowa,58
112526774,57107,2021-03-04 13:24:02,2021-03-04 13:28:22,Stacyjna (Dworzec Miko³ajów),Legnicka (Park Magnolia),5
112526540,57217,2021-03-04 13:17:18,2021-03-04 13:28:25,Poza stacj¹,Promenady Wroc³awskie,12
112526378,650608,2021-03-04 13:13:05,2021-03-04 13:28:55,Pereca / Grabiszyñska,"Dworzec G³ówny, po³udnie",16
112526615,650936,2021-03-04 13:19:41,2021-03-04 13:29:18,Aleja Kromera,Krzywoustego / Korona,10
112526868,650981,2021-03-04 13:26:32,2021-03-04 13:30:16,Plac Dominikañski (Galeria Dominikañska),Szewska / Kazimierza Wielkiego ,4
112526792,57468,2021-03-04 13:24:34,2021-03-04 13:30:19,"Kosmonautów / Fieldorfa, szpital wojewódzki","Kosmonautów / Fieldorfa, szpital wojewódzki",6
112526696,651100,2021-03-04 13:22:08,2021-03-04 13:30:56,Œlê¿na / Kamienna (Uniw. Ekonomiczny),Plac Powstañców Œl¹skich,9
112526691,650251,2021-03-04 13:21:56,2021-03-04 13:31:48,al. Kochanowskiego / Kopernika,al. Brücknera / Kwidzyñska,10
112525566,57400,2021-03-04 12:51:37,2021-03-04 13:32:01,Karwiñska / Opolska,Krakowska / Leroy Merlin,41
112526590,57353,2021-03-04 13:18:51,2021-03-04 13:32:35,Powstañcow Œl¹skich / Aleja Hallera,Dyrekcyjna / Borowska (Wroclavia),14
112526811,650686,2021-03-04 13:24:56,2021-03-04 13:32:43,Zachodnia / Poznañska,Legnicka (Park Magnolia),8
112526815,57012,2021-03-04 13:25:04,2021-03-04 13:32:43,Zachodnia / Poznañska,Legnicka (Park Magnolia),8
112526607,57165,2021-03-04 13:19:25,2021-03-04 13:32:57,Aleja Kromera,Kamieñskiego / Jutrosiñska,14
112526834,650208,2021-03-04 13:25:36,2021-03-04 13:33:07,"Kosmonautów / Fieldorfa, szpital wojewódzki","Kosmonautów / Fieldorfa, szpital wojewódzki",8
112526840,57204,2021-03-04 13:25:41,2021-03-04 13:33:19,al. Armii Krajowej / Borowska,Borowska (Uniw. Szpital Kliniczny),8
